,Classifier,Dataset,Umap dimension - 1,Umap dimension - 2,Umap dimension - 3,Umap dimension - 4,Umap dimension - 5,Umap dimension - 6,Umap dimension - 7,Umap dimension - 8,Umap dimension - 9,Umap dimension - 10,Umap dimension - 180,Umap dimension - Max,Umap dimension - Max score,Umap dimension - Best dimension - 1:10,Lost %
0,RandomForest,KuHar,0.656840835704428,0.7421459649624891,0.7702265059786008,0.7596237875067482,0.7656335816473071,0.7853429727279901,0.7563724696279546,0.7661629563281145,0.7581467453725316,0.7740202282588033,0.8953061530804997,139,0.7923168622589946,6,0.1029892908215051
1,SVC,KuHar,0.50281875122833,0.7005649065846434,0.7078187767402517,0.7021072592394871,0.7021072592394871,0.7100821918381625,0.6731272574937186,0.7109446949229804,0.6797987020062531,0.6883962425872939,0.6642167930272944,7,0.7109446949229804,8,-0.046727901895685986
2,KNN,KuHar,0.656840835704428,0.7182520074125108,0.7359851467088565,0.7522060996989451,0.7815919187033213,0.7645974202942402,0.7280108784428972,0.7364115728132437,0.7436070550603563,0.7566001229809782,0.7944246611719279,4,0.7815919187033213,5,0.01283274246860655
3,RandomForest,RealWorld,0.670397061451343,0.7326872507600217,0.777186766361384,0.7809443886595593,0.8004236850234238,0.7883628205303966,0.7922097896405191,0.7958432650843182,0.798696958234306,0.7950619613689339,0.8534073964610507,171,0.8133208487019473,5,0.040086547759103364
4,SVC,RealWorld,0.7385217934038886,0.7818219676623689,0.7914343116228709,0.7888013925053972,0.7964727913766823,0.7964124579461934,0.8004136476755563,0.7953735391499663,0.7945860834520813,0.7973016864005694,0.7896790110422829,6,0.8004136476755563,7,-0.010734636633273453
5,KNN,RealWorld,0.6704957740771108,0.681479178823751,0.7078037851597139,0.6918343089987221,0.7180169401489579,0.7156260883630816,0.7172318228969694,0.7316143392446446,0.7169989350304228,0.7202880548092587,0.7628771782619459,81,0.7389570350849641,8,0.023920143176981767
6,RandomForest,MotionSense,0.7745121548602805,0.8636073542414744,0.8872513994995466,0.8776436764346618,0.8811818167070038,0.887708911447407,0.8841771701562557,0.8814453747239075,0.880817213956405,0.887198692268164,0.873507787719219,159,0.8925959903925955,6,-0.01908820267337652
7,SVC,MotionSense,0.7873571709242596,0.8549586981324955,0.8676229359707741,0.8697221099173384,0.8717846356260183,0.8729148297380931,0.8718730449091451,0.8740725008049776,0.8720361832048273,0.8697370589099074,0.842168861785319,7,0.8740725008049776,8,-0.031903639019658536
8,KNN,MotionSense,0.7744172799874629,0.8455840288118543,0.8543958385178803,0.8515048026473252,0.8628588985252674,0.865080980215758,0.8638007220053118,0.8657545667993093,0.856744460788546,0.8616447446415104,0.8661337226912745,154,0.8703624042303981,8,-0.004228681539123591
9,RandomForest,WISDM,0.6255158281700866,0.7142978902053188,0.7109481051810691,0.7144484295417919,0.726500380093537,0.7214076689510502,0.7213259369852688,0.7245646573948982,0.7289105104016459,0.732442395026412,0.7298204979257107,118,0.7394910327399049,10,-0.00967053481419422
10,SVC,WISDM,0.6345907118723818,0.7274528571981143,0.6866417050196428,0.709315077901347,0.7134409700915333,0.7103080653564167,0.710844828535735,0.7110988963402395,0.7088193587537885,0.7114680372020914,0.6852338265667797,1,0.7274528571981143,2,-0.042219030631334586
11,KNN,WISDM,0.625483090880243,0.6973331899101396,0.699550733569703,0.7033020643287479,0.710885529122283,0.7170613690693279,0.7077792036443773,0.712377044593101,0.7140410345621208,0.7079357502787055,0.7239966661750786,79,0.7240012460609115,6,-4.579885832911579e-06
12,RandomForest,UCI,0.6900198262071967,0.731171068326522,0.7433216848555696,0.7889581855749179,0.787870454057675,0.7824597672848113,0.80137864583777,0.7839138252788505,0.7898788813182068,0.7856766898665839,0.8775865846670576,117,0.8140188761953338,7,0.06356770847172388
13,SVC,UCI,0.6420646984032019,0.6945950957600324,0.7425935069664292,0.7797154662068414,0.7856664654628507,0.7718483809323706,0.7842059433526815,0.7762038878267195,0.7786946325280075,0.7828522971174986,0.850340722811022,17,0.7905185807621385,5,0.059822142048883475
14,KNN,UCI,0.6900198262071968,0.7177715279054016,0.7542016746386382,0.768847530258279,0.779678049188883,0.7714334591561585,0.7767275943215121,0.7793045429296273,0.7883777840777016,0.7781323248322196,0.8328493223296746,85,0.807458365669698,9,0.025390956659976593
